sample,time_s,vout_v,burden_current_a,estimated_primary_current_a,estimated_flux_wb,estimated_ct_secondary_voltage_v,estimated_magnetizing_current_a,chi_square,degrees_of_freedom,confidence,max_abs_normalized_residual,iterations,converged
1,0.0,-0.09994837600000006,0.9994837600000006,-405.20896779155476,-1.353292518855173e-05,-13.53292518855173,-5.734290334132176e-06,6.398378208203116e-23,6,1.0,7.105427357601002e-12,3,1
2,0.000208,-0.11100984400000002,1.1100984400000002,-444.8200649727635,-0.00038551371137858086,-1.7883691643751403,-0.00016335326753329698,9.557875800241413e-14,6,1.0,3.0915814400090213e-07,3,1
3,0.000416,-0.12156851800000001,1.2156851800000001,-486.9185235841485,-0.0006622598687384719,-1.330510371922553,-0.00028061858844850504,8.971191184949654e-15,6,1.0,9.471637231723794e-08,3,1
4,0.000625,-0.13128920200000005,1.3128920200000005,-525.8723954468771,-0.0009518583771766111,-1.385638796354733,-0.0004033298208375471,1.2899351928847899e-14,6,1.0,1.1357531390451327e-07,3,1
5,0.000833,-0.14017189600000002,1.4017189600000002,-561.4864489409517,-0.0012565236860096337,-1.4647370616972242,-0.0005324252906820482,1.935447333050489e-14,6,1.0,1.391203555560778e-07,3,1
6,0.001041,-0.14838419800000002,1.4838419800000002,-594.420600201588,-0.0015771048769359097,-1.5412557256070958,-0.0006682647783626737,2.908718128890935e-14,6,1.0,1.7054964464495006e-07,3,1
7,0.00125,-0.15542331399999998,1.5542331399999998,-622.6585799421907,-0.0019121480975804901,-1.6030776107396199,-0.0008102322447374959,4.1400349164994625e-14,6,1.0,2.0347075751606637e-07,3,1
8,0.001458,-0.16162443999999998,1.6162443999999998,-647.5439737451235,-0.002257236377844834,-1.6590782705016531,-0.0009564560923071331,5.243714087191995e-14,6,1.0,2.289915738007537e-07,3,1
9,0.001666,-0.16681997800000004,1.6681997800000004,-668.4041101141792,-0.002611640879063193,-1.7038677943190346,-0.0011066274911284717,6.489200068565834e-14,6,1.0,2.547390835449019e-07,3,1
10,0.001875,-0.17100992800000003,1.7100992800000003,-685.239307565609,-0.002974968379346604,-1.7384090922651245,-0.0012605798217570359,7.91741621354877e-14,6,1.0,2.813790364140252e-07,3,1
11,0.002083,-0.17419428999999997,1.7419428999999997,-698.0488155168699,-0.003341706006838347,-1.7631616706333761,-0.001415977121541673,8.531808711549114e-14,6,1.0,2.920926002367986e-07,3,1
12,0.002291,-0.17620546599999998,1.7620546599999998,-706.1608156328725,-0.00371089860591895,-1.7749644186567453,-0.00157241466352498,8.99955960944768e-14,6,1.0,2.999926600643937e-07,3,1
13,0.0025,-0.17704345600000004,1.7704345600000004,-709.5756403089651,-0.004081860802083882,-1.7749387376312515,-0.001729602034781309,9.350494167583691e-14,6,1.0,3.057857774080472e-07,3,1
14,0.002708,-0.17704345600000004,1.7704345600000004,-709.6355494331734,-0.004449774511101309,-1.768815908737632,-0.001885497674195478,8.753164400059512e-14,6,1.0,2.9585747242789044e-07,3,1
15,0.002916,-0.175702672,1.75702672,-704.3248775709358,-0.004812960002979519,-1.7460840955683157,-0.002039389831771002,7.892693773929367e-14,6,1.0,2.8093938443100325e-07,3,1
16,0.003125,-0.173523898,1.73523898,-695.6594847047614,-0.005172059829222624,-1.7181809868091134,-0.0021915507750943745,7.209727276392789e-14,6,1.0,2.6850935314522083e-07,3,1
17,0.003333,-0.17000433999999998,1.7000433999999998,-681.6224292053488,-0.005520172167355731,-1.6736170102553218,-0.0023390560031169225,5.6228007619629746e-14,6,1.0,2.3712445590617036e-07,3,1
18,0.003541,-0.165646792,1.6564679199999999,-664.2295911416153,-0.005857939250136261,-1.6238802056756243,-0.00248217764836299,4.417086155123956e-14,6,1.0,2.1016865014400376e-07,3,1
19,0.00375,-0.16011605800000006,1.6011605800000006,-642.136615033451,-0.006184099707617597,-1.5605763515853373,-0.0026203812320416586,3.3392417534380395e-14,6,1.0,1.8273592281546364e-07,3,1
20,0.003958,-0.15374733400000007,1.5374733400000007,-616.6863079836194,-0.006494158616929392,-1.4906678332297878,-0.00275176212581806,2.2271582144278793e-14,6,1.0,1.4923666469268682e-07,3,1
21,0.004166,-0.14637302200000002,1.4637302200000002,-587.2064529290845,-0.006787415489456902,-1.4098888102284093,-0.002876023512482585,1.426208286915519e-14,6,1.0,1.194239624996863e-07,3,1
22,0.004375,-0.13799312200000002,1.3799312200000002,-553.6973431438074,-0.007063144971952701,-1.3192798205540632,-0.0029928580389643215,8.710899478679097e-15,6,1.0,9.333219937902187e-08,3,1
23,0.004583,-0.12894283000000006,1.2894283000000006,-517.501077174198,-0.007317671393295541,-1.2236847179944208,-0.0031007082175000477,4.592618438863659e-15,6,1.0,6.776886012572396e-08,3,1
